iss_date,SESSO,AGE_GROUP
10/06/2021,F,0-9
10/06/2021,F,0-9
10/06/2021,F,0-9
10/06/2021,F,0-9
10/06/2021,F,0-9
10/06/2021,F,10-19
10/06/2021,F,10-19
10/06/2021,F,10-19
10/06/2021,F,10-19
10/06/2021,F,10-19
10/06/2021,F,20-29
10/06/2021,F,20-29
10/06/2021,F,20-29
10/06/2021,F,20-29
10/06/2021,F,20-29
10/06/2021,F,30-39
10/06/2021,F,30-39
10/06/2021,F,30-39
10/06/2021,F,30-39
10/06/2021,F,30-39
10/06/2021,F,40-49
10/06/2021,F,40-49
10/06/2021,F,40-49
10/06/2021,F,40-49
10/06/2021,F,40-49
10/06/2021,F,50-59
10/06/2021,F,50-59
10/06/2021,F,50-59
10/06/2021,F,50-59
10/06/2021,F,50-59
10/06/2021,F,60-69
10/06/2021,F,60-69
10/06/2021,F,60-69
10/06/2021,F,60-69
10/06/2021,F,60-69
10/06/2021,F,70-79
10/06/2021,F,70-79
10/06/2021,F,70-79
10/06/2021,F,70-79
10/06/2021,F,70-79
10/06/2021,F,80-89
10/06/2021,F,80-89
10/06/2021,F,80-89
10/06/2021,F,80-89
10/06/2021,F,80-89
10/06/2021,F,>90
10/06/2021,F,>90
10/06/2021,F,>90
10/06/2021,F,>90
10/06/2021,F,>90
10/06/2021,F,Non noto
10/06/2021,F,Non noto
10/06/2021,F,Non noto
10/06/2021,M,0-9
10/06/2021,M,0-9
10/06/2021,M,0-9
10/06/2021,M,0-9
10/06/2021,M,0-9
10/06/2021,M,10-19
10/06/2021,M,10-19
10/06/2021,M,10-19
10/06/2021,M,10-19
10/06/2021,M,10-19
10/06/2021,M,20-29
10/06/2021,M,20-29
10/06/2021,M,20-29
10/06/2021,M,20-29
10/06/2021,M,20-29
10/06/2021,M,30-39
10/06/2021,M,30-39
10/06/2021,M,30-39
10/06/2021,M,30-39
10/06/2021,M,30-39
10/06/2021,M,40-49
10/06/2021,M,40-49
10/06/2021,M,40-49
10/06/2021,M,40-49
10/06/2021,M,40-49
10/06/2021,M,50-59
10/06/2021,M,50-59
10/06/2021,M,50-59
10/06/2021,M,50-59
10/06/2021,M,50-59
10/06/2021,M,60-69
10/06/2021,M,60-69
10/06/2021,M,60-69
10/06/2021,M,60-69
10/06/2021,M,60-69
10/06/2021,M,70-79
10/06/2021,M,70-79
10/06/2021,M,70-79
10/06/2021,M,70-79
10/06/2021,M,70-79
10/06/2021,M,80-89
10/06/2021,M,80-89
10/06/2021,M,80-89
10/06/2021,M,80-89
10/06/2021,M,80-89
10/06/2021,M,>90
10/06/2021,M,>90
10/06/2021,M,>90
10/06/2021,M,>90
10/06/2021,M,>90
10/06/2021,M,Non noto
10/06/2021,M,Non noto
10/06/2021,M,Non noto
